source,target,strength
37,13,11822335
38,13,3059892
39,13,2319120
40,13,11295374
41,13,6657679
42,13,4887761
43,13,2371798
44,13,9789687
45,13,1311379
46,13,1795955
47,13,2742573
48,13,6376691
49,13,967745
50,13,8643244
51,13,1322366
52,13,3756044
53,13,1659263
54,13,1256787
55,13,479246
56,13,1146349
57,13,446904
58,13,1589644
59,13,5215048
60,13,20492319
61,13,28996977
62,13,4374129
63,13,207335
64,13,598235
65,13,3235737
66,13,690435
67,13,2813097
68,13,1823059
69,13,465660
70,13,781847
71,13,2531937
72,13,937194
73,13,364266
74,13,1956999
75,13,4112615
76,13,1914013
77,13,279778
78,13,2121129
79,13,5099143
80,13,413760
81,13,374618
82,13,415452
83,13,375339
84,13,702993
85,13,500991
86,13,349135
87,13,214001
88,13,3243820
89,13,1687842
90,13,154100
91,13,666231
92,13,276298
93,13,276920
94,13,210228
95,13,289224
96,13,261150
97,13,163049
98,13,224817
99,13,312957
100,13,177912
101,13,188849
102,13,1111587
103,13,324961
104,13,546143
105,13,290155
106,13,643933
107,13,127443
108,13,113599
109,13,733570
110,13,1320566
111,13,864880
112,13,119671
113,13,235981
114,13,216241
115,13,182816
116,13,130155
117,13,91508
118,13,195000
119,13,151150
120,13,125324
121,13,530049
122,13,76689
123,13,294779
124,13,801152
125,13,522161
126,13,74238
127,13,104458
128,13,144331
129,13,96707
130,13,320152
131,13,67836
132,13,59198
133,13,103703
134,13,74803
15,14,5215344
16,14,5837700
17,14,2658595
18,14,539964
19,14,551090
20,14,1818731
21,14,4060591
22,14,437545
23,14,1056552
24,14,2840166
25,14,863442
26,14,1858765
27,14,929168
28,14,611168
29,14,1102033
30,14,19274146
31,14,662193
32,14,63215941
33,14,692702
34,14,12044639
35,14,1512950
36,14,2449158
37,14,1088080
38,14,17061488
39,14,3569437
40,14,1764819
41,14,897462
42,14,587290
43,14,16249432
44,14,1590788
45,14,324722
46,14,17898699
47,14,859528
48,14,1146497
49,14,29491837
50,14,648907
51,14,605397
52,14,409257
53,14,519527
54,14,574462
55,14,281684
56,14,449686
57,14,232336
58,14,415333
59,14,510279
60,14,709322
61,14,843529
62,14,447203
63,14,8322368
64,14,554479
65,14,476663
66,14,265360
67,14,283637
68,14,8276711
69,14,265264
70,14,328518
71,14,337118
72,14,8060407
73,14,194398
74,14,188286
75,14,295868
76,14,608381
77,14,334200
78,14,224839
79,14,377836
80,14,230765
81,14,218535
82,14,335760
83,14,13445006
84,14,542575
85,14,449273
86,14,187545
87,14,6540952
88,14,266603
89,14,323531
90,14,67109
91,14,158791
