mercix,merciy,size,blankx,blanky,heartx,hearty,symbolx,symboly
291,154,9,354,879,969,283,1439,946
1168,135,9,223,288,667,410,1349,515
1192,620,9,269,689,1171,373,1336,447
1185,135,9,1395,895,788,318,1598,599
1527,161,9,1143,709,904,719,1596,287
990,892,9,1785,84,1122,188,814,306
940,670,9,214,939,830,402,1371,512
611,248,9,225,89,1325,264,1263,850
1340,770,9,883,886,1291,305,1493,753
1640,359,9,1214,557,1126,650,516,341
949,807,9,460,11,745,155,655,337
1381,199,9,1071,233,1046,98,539,426
1183,674,9,1411,845,966,460,743,806
1016,532,9,1360,753,1346,377,865,647
1017,820,9,446,882,1357,201,917,758
1031,262,9,1546,793,988,631,1248,706
1174,189,9,141,351,654,271,1539,293
469,168,9,55,191,674,295,1199,148
735,342,9,885,364,704,656,1481,161
1029,888,9,491,422,1185,140,1598,379
1067,682,9,271,81,938,877,511,666
573,340,9,382,407,1097,207,1399,241
1261,798,9,46,971,1146,309,1313,125
1153,437,9,525,130,1224,631,1159,847
1694,476,9,1635,128,1005,754,437,469
765,627,9,1043,771,1220,390,1268,157
565,490,9,180,770,969,253,765,645
1669,184,9,193,482,1492,414,684,709
957,576,9,1981,536,1392,483,693,425
385,352,9,689,879,1311,174,515,558
395,452,9,519,97,1222,423,824,793
1162,303,9,1836,637,976,928,1221,191
1494,140,9,841,790,1211,745,1347,910
831,433,9,1530,70,553,493,1408,610
981,352,9,817,932,1346,273,1392,403
734,211,9,801,252,760,41,1495,897
961,382,9,297,314,841,109,1549,802
1308,285,9,207,438,949,801,1456,314
1379,216,9,1414,92,605,266,1189,837
1613,476,9,480,33,810,47,1582,348
1629,184,9,737,571,1259,403,659,363
1305,822,9,1176,609,915,146,1115,797
1136,363,9,1830,492,1313,146,1318,541
1262,611,9,1608,459,643,595,1493,265
1260,371,9,1901,695,783,182,1603,637
529,208,9,114,293,840,332,532,295
687,652,9,1240,700,1118,382,1345,574
1221,669,9,1824,726,1394,428,1528,475
1588,416,9,1034,563,520,265,1370,437
1674,431,9,143,629,1327,621,812,163
741,710,9,535,970,870,680,1452,617
922,420,9,1085,487,803,126,764,174
1187,603,9,273,402,1002,420,702,787
1347,244,9,50,94,1326,431,468,600
1336,172,9,1904,719,898,415,412,369
346,460,9,1700,302,716,110,672,669
682,414,9,1139,468,1103,547,1494,306
1141,407,9,285,616,637,274,1403,493
884,361,9,1666,759,1014,354,1423,949
1354,842,9,1527,390,677,461,1313,233
1285,325,9,452,633,712,596,532,543
1086,839,9,1959,795,1015,155,695,608
1191,491,9,1694,415,1132,69,920,689
1197,536,9,1860,173,1077,703,1496,846
1360,359,9,753,519,523,452,573,456
662,603,9,1922,691,1141,435,737,266
1025,581,9,1723,384,1127,667,1211,754
1496,390,9,1915,284,983,413,780,173
1306,893,9,265,838,682,401,1410,848
997,822,9,608,202,563,456,923,95
658,585,9,317,958,712,203,1182,135
1583,316,9,1291,52,695,364,1299,197
1677,167,9,1688,520,933,560,1622,364
1168,437,9,326,637,766,220,1386,586
905,447,9,1694,50,965,117,1221,845
1073,780,9,721,180,945,437,1418,227
764,535,9,122,772,1313,642,1138,189
1505,492,9,946,485,660,167,1274,59
422,420,9,602,603,1036,348,1290,482
1279,311,9,567,181,544,403,1313,902
893,710,9,497,920,1493,339,1419,888
1078,765,9,173,388,788,143,534,351
943,384,9,637,942,1080,308,915,781
567,243,9,115,877,971,402,1182,705
529,341,9,634,301,1211,220,794,693
536,449,9,1138,944,1489,247,1516,425
574,137,9,1541,628,976,170,502,398
632,533,9,1785,607,1191,171,1415,337
1119,738,9,1343,386,633,495,549,669
993,249,9,648,851,793,472,600,710
1220,592,9,1942,763,1163,326,1531,658
1136,446,9,512,865,1001,379,1071,754
726,844,9,227,568,1420,170,1435,479
1294,352,9,1184,213,1438,335,1089,287
895,293,9,1793,760,1414,267,658,567
663,340,9,894,522,1103,134,710,629
1642,247,9,130,254,852,172,1091,706
1354,888,9,1081,353,1382,340,1639,645
1072,645,9,1735,792,787,239,1418,513
725,546,9,788,8,888,100,844,137
315,202,9,272,42,1223,608,605,254
755,254,9,1853,43,1222,296,1627,307
1033,681,9,566,421,1247,671,820,151
572,453,9,1601,475,806,263,920,817
715,762,9,1496,617,1119,462,1140,145
1453,140,9,1266,709,1176,665,1284,793
937,443,9,1485,332,894,331,1615,387
1378,459,9,444,318,1180,251,1487,144
1076,491,9,1852,757,1034,514,1495,610
1276,297,9,213,894,736,91,1292,232
723,665,9,141,752,1058,163,1483,769
1035,285,9,1619,701,1320,503,1335,780
856,705,9,1977,591,1146,291,585,444
1381,356,9,648,493,1109,842,1397,378
756,236,9,1561,196,1323,394,1119,178
620,292,9,275,270,968,224,532,528
641,680,9,120,961,1026,462,1534,600
1404,846,9,536,870,794,298,846,729
1338,628,9,1631,19,505,338,552,298
1419,713,9,1470,604,651,178,749,327
1144,231,9,1186,974,1145,548,1272,289
1237,881,9,348,17,610,370,1236,900
1234,593,9,1739,532,1340,248,792,357
1383,541,9,1071,701,1216,343,829,714
755,184,9,1663,22,1434,499,1431,55
729,763,8,1531,774,965,180,1622,345
1211,426,8,829,150,801,727,548,389
1298,370,8,544,421,936,405,1147,782
1500,291,8,895,247,1209,680,1445,183
962,821,8,28,345,669,69,1514,134
1658,137,8,150,827,1022,587,1179,273
699,345,8,924,757,690,526,1316,112
652,330,8,1326,454,929,739,1548,169
871,252,8,344,643,1336,463,1135,712
1381,283,8,569,458,641,401,1487,470
725,724,8,1291,196,900,522,565,565
412,234,8,1086,121,1122,833,1463,76
1338,311,8,1351,886,770,491,1413,414
1518,348,8,1186,227,650,253,468,440
859,757,8,928,776,1027,166,748,707
1380,481,8,852,383,986,745,1288,572
1374,317,8,933,80,1261,63,452,380
1382,156,8,453,351,792,561,497,454
1511,398,8,1378,606,1127,580,648,526
528,409,8,652,54,717,272,1315,775
1452,356,8,330,270,734,330,1535,141
967,272,8,1587,807,1052,516,1382,202
1371,880,8,451,599,1008,514,800,725
675,658,8,1397,15,931,268,1260,60
1332,252,8,1292,726,911,341,1078,742
658,860,8,756,76,548,420,494,348
1518,493,8,1207,715,932,856,1296,513
679,493,8,323,10,872,516,1528,436
890,374,8,1634,833,1375,280,399,603
403,341,8,1524,787,1295,195,1313,956
1089,641,8,68,238,1188,406,1476,312
1054,848,8,55,933,1098,834,1469,439
1658,473,8,1570,736,921,310,1271,729
597,211,8,1045,758,868,742,1597,784
1322,827,8,1506,47,1118,632,882,108
1149,134,8,1008,327,1068,764,753,613
380,448,8,1147,745,1123,618,1562,122
912,785,8,1422,107,626,420,811,666
1053,387,8,1524,205,919,377,1512,874
370,221,8,855,886,814,733,1629,682
881,210,8,120,446,1220,448,1561,851
921,334,8,1788,103,1381,260,418,357
1138,393,8,1027,16,875,385,489,662
757,428,8,1855,316,622,149,709,603
975,531,8,1873,614,970,447,468,481
612,231,8,1189,669,730,488,1137,295
592,605,8,1017,226,1189,500,1444,246
973,295,8,1464,202,1055,350,732,410
715,347,8,1557,769,1075,168,785,277
1334,803,8,1499,737,951,102,1603,837
680,161,8,1664,68,1028,894,1575,252
633,269,8,1464,827,1061,218,781,390
599,628,8,1706,96,962,743,1456,245
1354,534,8,1509,502,614,105,1540,506
1362,413,8,91,284,623,286,1327,953
656,683,8,645,686,1392,458,804,613
931,543,8,549,651,1063,585,1413,535
1093,600,8,1740,667,727,45,723,193
1530,392,8,860,341,766,472,516,461
1094,693,8,80,585,655,612,1419,49
1296,471,8,718,302,1292,424,612,271
1476,394,8,1277,132,741,688,1223,292
1191,309,8,1522,483,1276,541,1481,428
1622,321,8,100,516,524,320,1488,348
1034,491,8,743,459,1208,40,814,139
738,396,8,1775,508,1196,98,1363,412
976,416,8,380,972,1057,540,1495,293
610,170,8,1143,819,599,385,919,847
896,148,8,1530,497,1149,531,1246,218
1115,679,8,1883,277,807,656,394,493
1190,431,8,332,673,570,281,714,567
1229,291,8,1250,344,1337,169,1614,705
916,242,8,722,799,1017,937,877,160
1649,230,8,51,529,1374,499,1575,564
853,430,8,1422,715,983,863,1422,616
1624,248,8,12,71,812,669,1516,379
