status,gender1,gender2,age1,age2,couples
2,F,F,22,58,7
2,F,F,22,59,6
2,F,F,22,60,5
2,F,F,22,61,4
2,F,F,22,62,9
2,F,F,22,63,11
2,F,F,22,64,7
2,F,F,22,65,5
2,F,F,22,66,3
2,F,F,22,67,22
2,F,F,22,68,12
2,F,F,22,69,2
2,F,F,22,70,5
2,F,F,22,71,3
2,F,F,22,72,3
2,F,F,22,73,7
2,F,F,22,74,6
2,F,F,22,75,4
2,F,F,22,76,3
2,F,F,22,77,4
2,F,F,22,78,5
2,F,F,22,79,6
2,F,F,22,80,4
2,F,F,22,81,4
2,F,F,22,82,5
2,F,F,22,83,4
2,F,F,22,84,6
2,F,F,22,85,3
2,F,F,22,86,5
2,F,F,22,87,6
2,F,F,22,88,5
2,F,F,22,89,4
2,F,F,22,90,7
2,F,F,22,91,2
2,F,F,22,92,13
2,F,F,22,93,14
2,F,F,22,94,20
2,F,F,22,95,4
2,F,F,22,96,8
2,F,F,22,97,3
2,F,F,22,98,10
2,F,F,22,99,14
2,F,F,22,100,16
2,F,F,22,101,14
2,F,F,22,102,69
2,F,F,22,103,29
2,F,F,22,104,5
2,F,F,22,105,3
2,F,F,22,106,3
2,F,F,22,107,60
2,F,F,22,108,40
2,F,F,22,112,4
2,F,F,22,113,1
2,F,F,23,13,492
2,F,F,23,14,1124
2,F,F,23,15,1361
2,F,F,23,16,1379
2,F,F,23,17,1504
2,F,F,23,18,1924
2,F,F,23,19,2225
2,F,F,23,20,2898
2,F,F,23,21,3638
2,F,F,23,22,5801
2,F,F,23,23,8154
2,F,F,23,24,3860
2,F,F,23,25,1922
2,F,F,23,26,1328
2,F,F,23,27,997
2,F,F,23,28,747
2,F,F,23,29,507
2,F,F,23,30,410
2,F,F,23,31,305
2,F,F,23,32,312
2,F,F,23,33,285
2,F,F,23,34,193
2,F,F,23,35,120
2,F,F,23,36,100
2,F,F,23,37,80
2,F,F,23,38,66
2,F,F,23,39,46
2,F,F,23,40,57
2,F,F,23,41,43
2,F,F,23,42,51
2,F,F,23,43,50
2,F,F,23,44,31
2,F,F,23,45,23
2,F,F,23,46,32
2,F,F,23,47,9
2,F,F,23,48,10
2,F,F,23,49,14
2,F,F,23,50,12
2,F,F,23,51,11
2,F,F,23,52,16
2,F,F,23,53,17
2,F,F,23,54,12
2,F,F,23,55,5
2,F,F,23,56,6
2,F,F,23,57,7
2,F,F,23,58,5
2,F,F,23,59,6
2,F,F,23,60,2
2,F,F,23,61,7
2,F,F,23,62,11
2,F,F,23,63,4
2,F,F,23,64,2
2,F,F,23,65,3
2,F,F,23,66,1
2,F,F,23,67,10
2,F,F,23,68,7
2,F,F,23,69,6
2,F,F,23,70,1
2,F,F,23,71,2
2,F,F,23,72,2
2,F,F,23,73,4
2,F,F,23,74,2
2,F,F,23,75,3
2,F,F,23,76,2
2,F,F,23,78,3
2,F,F,23,79,2
